Starting 304 Sequential Iterations...
Permutation 110/304 (c=0.85, d=0.85, e=0.75)
Permutation 111/304 (c=0.85, d=0.85, e=0.80)
Permutation 112/304 (c=0.85, d=0.85, e=0.85)
Permutation 113/304 (c=0.85, d=0.85, e=0.90)
Permutation 114/304 (c=0.85, d=0.85, e=0.95)
Permutation 115/304 (c=0.85, d=0.90, e=0.05)
Permutation 116/304 (c=0.85, d=0.90, e=0.10)
Permutation 117/304 (c=0.85, d=0.90, e=0.15)
Permutation 118/304 (c=0.85, d=0.90, e=0.20)
Permutation 119/304 (c=0.85, d=0.90, e=0.25)
Permutation 120/304 (c=0.85, d=0.90, e=0.30)
Permutation 121/304 (c=0.85, d=0.90, e=0.35)
Permutation 122/304 (c=0.85, d=0.90, e=0.40)
Permutation 123/304 (c=0.85, d=0.90, e=0.45)
Permutation 124/304 (c=0.85, d=0.90, e=0.50)
Permutation 125/304 (c=0.85, d=0.90, e=0.55)
Permutation 126/304 (c=0.85, d=0.90, e=0.60)
Permutation 127/304 (c=0.85, d=0.90, e=0.65)
Permutation 128/304 (c=0.85, d=0.90, e=0.70)
Permutation 129/304 (c=0.85, d=0.90, e=0.75)
Permutation 130/304 (c=0.85, d=0.90, e=0.80)
Permutation 131/304 (c=0.85, d=0.90, e=0.85)
Permutation 132/304 (c=0.85, d=0.90, e=0.90)
Permutation 133/304 (c=0.85, d=0.90, e=0.95)
Permutation 134/304 (c=0.85, d=0.95, e=0.05)
Permutation 135/304 (c=0.85, d=0.95, e=0.10)
Permutation 136/304 (c=0.85, d=0.95, e=0.15)
Permutation 137/304 (c=0.85, d=0.95, e=0.20)
Permutation 138/304 (c=0.85, d=0.95, e=0.25)
Permutation 139/304 (c=0.85, d=0.95, e=0.30)
Permutation 140/304 (c=0.85, d=0.95, e=0.35)
Permutation 141/304 (c=0.85, d=0.95, e=0.40)
Permutation 142/304 (c=0.85, d=0.95, e=0.45)
Permutation 143/304 (c=0.85, d=0.95, e=0.50)
Permutation 144/304 (c=0.85, d=0.95, e=0.55)
Permutation 145/304 (c=0.85, d=0.95, e=0.60)
Permutation 146/304 (c=0.85, d=0.95, e=0.65)
Permutation 147/304 (c=0.85, d=0.95, e=0.70)
Permutation 148/304 (c=0.85, d=0.95, e=0.75)
Permutation 149/304 (c=0.85, d=0.95, e=0.80)
Permutation 150/304 (c=0.85, d=0.95, e=0.85)
Permutation 151/304 (c=0.85, d=0.95, e=0.90)
Permutation 152/304 (c=0.85, d=0.95, e=0.95)
Permutation 153/304 (c=0.90, d=0.80, e=0.05)
Permutation 154/304 (c=0.90, d=0.80, e=0.10)
Permutation 155/304 (c=0.90, d=0.80, e=0.15)
Permutation 156/304 (c=0.90, d=0.80, e=0.20)
Permutation 157/304 (c=0.90, d=0.80, e=0.25)
Permutation 158/304 (c=0.90, d=0.80, e=0.30)
Permutation 159/304 (c=0.90, d=0.80, e=0.35)
Permutation 160/304 (c=0.90, d=0.80, e=0.40)
Permutation 161/304 (c=0.90, d=0.80, e=0.45)
Permutation 162/304 (c=0.90, d=0.80, e=0.50)
Permutation 163/304 (c=0.90, d=0.80, e=0.55)
Permutation 164/304 (c=0.90, d=0.80, e=0.60)
Permutation 165/304 (c=0.90, d=0.80, e=0.65)
Permutation 166/304 (c=0.90, d=0.80, e=0.70)
Permutation 167/304 (c=0.90, d=0.80, e=0.75)
Permutation 168/304 (c=0.90, d=0.80, e=0.80)
Permutation 169/304 (c=0.90, d=0.80, e=0.85)
Permutation 170/304 (c=0.90, d=0.80, e=0.90)
Permutation 171/304 (c=0.90, d=0.80, e=0.95)
Permutation 172/304 (c=0.90, d=0.85, e=0.05)
Permutation 173/304 (c=0.90, d=0.85, e=0.10)
Permutation 174/304 (c=0.90, d=0.85, e=0.15)
Permutation 175/304 (c=0.90, d=0.85, e=0.20)
Permutation 176/304 (c=0.90, d=0.85, e=0.25)
Permutation 177/304 (c=0.90, d=0.85, e=0.30)
Permutation 178/304 (c=0.90, d=0.85, e=0.35)
Permutation 179/304 (c=0.90, d=0.85, e=0.40)
Permutation 180/304 (c=0.90, d=0.85, e=0.45)
Permutation 181/304 (c=0.90, d=0.85, e=0.50)
Permutation 182/304 (c=0.90, d=0.85, e=0.55)
Permutation 183/304 (c=0.90, d=0.85, e=0.60)
Permutation 184/304 (c=0.90, d=0.85, e=0.65)
Permutation 185/304 (c=0.90, d=0.85, e=0.70)
Permutation 186/304 (c=0.90, d=0.85, e=0.75)
Permutation 187/304 (c=0.90, d=0.85, e=0.80)
Permutation 188/304 (c=0.90, d=0.85, e=0.85)
Permutation 189/304 (c=0.90, d=0.85, e=0.90)
Permutation 190/304 (c=0.90, d=0.85, e=0.95)
Permutation 191/304 (c=0.90, d=0.90, e=0.05)
Permutation 192/304 (c=0.90, d=0.90, e=0.10)
Permutation 193/304 (c=0.90, d=0.90, e=0.15)
Permutation 194/304 (c=0.90, d=0.90, e=0.20)
Permutation 195/304 (c=0.90, d=0.90, e=0.25)
Permutation 196/304 (c=0.90, d=0.90, e=0.30)
Permutation 197/304 (c=0.90, d=0.90, e=0.35)
Permutation 198/304 (c=0.90, d=0.90, e=0.40)
